,site_reference_number,facility_id,hvac_system_id,heating_system_type,heating_system_type_other,primary_heat_fuel,aux_heat,electric_resistance_heat_type,total_hvac_heating_capacity_kbtu,facility_heating_capacity_fraction,facility_heating_capacity_rank,regional_heated_sqft_represented,total_hvac_cooling_capacity_kbtu,facility_cooling_capacity_fraction,facility_cooling_capacity_rank,regional_cooled_sqft_represented,cooling_system_type,cooling_system_type_other,hydronic_heating,hydronic_cooling,hydronic_heating_or_cooling,avg_hours_per_week,airflow_capacity,system_primary_heat,system_primary_cool,primary_ventilation_source,num_identical_units,system_age_years,type_manufacturer,type_model,zone_type,heat_pump_type,component_vent_other,fan_supply_vfd,fan_supply_hp,fan,total_return_exhaust_fan_hp,supply_control_method,ventilation_outside_air,ventilation_exhaust,controls_comm_types,heat_cool_vent,component_heat_exchange,boiler_fuel_type,chiller_type,primary_building_type_facility,detailed_econ,total_building_area,urban_rural,year_constructed,sample_weight_hvac,regional_site_sqft_represented,regional_site_conditioned_sqft_represented
2480,60040,8228,24732,AHU with DX cooling and hydronic heating,,Hot Water from Boiler,ERV/HRV,,0.0,0.1,7.0,131854.0493,144.0,0.151696,1.0,200017.3187,AHU with DX cooling and hydronic heating,,1,0,1,168.0,5500.0,Primary,Primary,0,1.0,8.0,Venmar CES,VHC50 VP2BWBAQSRKBBA,Single Zone,,,0.0,7.5,"Condenser,Exhaust,Supply",7.5,None,Louvers (unknown if motorized/economizer),Motorized louvers,,"C,HE,HT,V",ERV,Natural Gas,Not Applicable,Hospital,Hospital  - Hospital,103087,Urban,1966,1.0,1947541.879,1318540.493
2481,60040,8228,24733,AHU with hydronic cooling and heating,,Hot Water from Boiler,,,0.0,0.1,9.0,131854.0493,0.0,0.10603699999999999,9.0,139814.0783,AHU with hydronic cooling and heating,,1,1,1,168.0,14000.0,Primary,Primary,0,1.0,0.0,Scott Springfield,HQ-150-AHU-14000-H-C,Multizone,,,0.0,25.0,"Return,Supply",7.5,VAV w/ unknown reheat,Louvers (unknown if motorized/economizer),,,"C,HT,V",,Natural Gas,Compressor-Centrifugal,Hospital,Hospital  - Hospital,103087,Urban,1966,1.0,1947541.879,1318540.493
2482,60040,8228,24734,AHU with hydronic cooling and heating,,Hot Water from Boiler,,,0.0,0.1,2.0,131854.0493,0.0,0.10603699999999999,3.0,139814.0783,AHU with hydronic cooling and heating,,1,1,1,168.0,0.0,Primary,Primary,0,1.0,0.0,Carrier,28CZ1116ZA3071,Multizone,,,1.0,0.0,"Return,Supply",0.0,VAV w/ unknown reheat,,,,"C,HT,V",,Natural Gas,Compressor-Centrifugal,Hospital,Hospital  - Hospital,103087,Urban,1966,1.0,1947541.879,1318540.493
2483,60040,8228,24735,AHU with hydronic cooling and heating,,Hot Water from Boiler,,,0.0,0.1,4.0,131854.0493,0.0,0.10603699999999999,5.0,139814.0783,AHU with hydronic cooling and heating,,1,1,1,168.0,27270.0,Primary,Primary,0,1.0,29.0,Carrier,39EB36,Multizone,,,0.0,0.0,"Return,Supply",0.0,VAV w/ unknown reheat,,,,"C,HT,V",,Natural Gas,Compressor-Centrifugal,Hospital,Hospital  - Hospital,103087,Urban,1966,1.0,1947541.879,1318540.493
2484,60040,8228,24736,AHU with hydronic cooling and heating,,Hot Water from Boiler,,,0.0,0.1,5.0,131854.0493,0.0,0.10603699999999999,6.0,139814.0783,AHU with hydronic cooling and heating,,1,1,1,168.0,0.0,,,0,1.0,0.0,Pace,,Multizone,,,0.0,5.0,Supply,0.0,VAV w/ unknown reheat,Louvers (unknown if motorized/economizer),,,"C,HT,V",,Natural Gas,Compressor-Centrifugal,Hospital,Hospital  - Hospital,103087,Urban,1966,1.0,1947541.879,1318540.493
2485,60040,8228,24737,AHU with hydronic cooling and heating,,Hot Water from Boiler,,,0.0,0.1,10.0,131854.0493,0.0,0.0,10.0,0.0,AHU with hydronic cooling and heating,,1,1,1,168.0,0.0,Primary,Primary,0,1.0,0.0,Pace,,Multizone,,,0.0,0.0,Supply,0.0,VAV w/ unknown reheat,Louvers (unknown if motorized/economizer),,,"C,HT,V",,Natural Gas,Not Applicable,Hospital,Hospital  - Hospital,103087,Urban,1966,1.0,1947541.879,1318540.493
2486,60040,8228,24738,AHU with hydronic cooling and heating,,Hot Water from Boiler,,,0.0,0.1,8.0,131854.0493,0.0,0.10603699999999999,8.0,139814.0783,AHU with hydronic cooling and heating,,1,1,1,168.0,0.0,Primary,Primary,0,1.0,0.0,Pace,B24SIMZ5,Multizone,,,1.0,0.0,"Return,Supply",0.0,VAV w/ unknown reheat,,,,"C,HT,V",,Natural Gas,Compressor-Centrifugal,Hospital,Hospital  - Hospital,103087,Urban,1966,1.0,1947541.879,1318540.493
2487,60040,8228,24739,AHU with hydronic cooling and heating,,Hot Water from Boiler,,,0.0,0.1,1.0,131854.0493,0.0,0.10603699999999999,2.0,139814.0783,AHU with hydronic cooling and heating,,1,1,1,168.0,0.0,Primary,Primary,0,1.0,0.0,Pace,B12SI,Multizone,,,1.0,0.0,"Return,Supply",0.0,VAV w/ unknown reheat,Louvers (unknown if motorized/economizer),,,"C,HT,V",,Natural Gas,Compressor-Centrifugal,Hospital,Hospital  - Hospital,103087,Urban,1966,1.0,1947541.879,1318540.493
2488,60040,8228,24740,AHU with hydronic cooling and heating,,Hot Water from Boiler,,,0.0,0.1,3.0,131854.0493,0.0,0.10603699999999999,4.0,139814.0783,AHU with hydronic cooling and heating,,1,1,1,168.0,0.0,Primary,Primary,0,1.0,0.0,,,Multizone,,,0.0,5.0,"Return,Supply",0.0,VAV w/ unknown reheat,,,,"C,HT,V",,Natural Gas,Compressor-Centrifugal,Hospital,Hospital  - Hospital,103087,Urban,1966,1.0,1947541.879,1318540.493
2489,60040,8228,24741,AHU with hydronic cooling and heating,,Hot Water from Boiler,,,0.0,0.1,6.0,131854.0493,0.0,0.10603699999999999,7.0,139814.0783,AHU with hydronic cooling and heating,,1,1,1,168.0,0.0,Primary,Primary,0,1.0,0.0,,,Multizone,,,1.0,0.0,"Return,Supply",0.0,VAV w/ unknown reheat,Louvers (unknown if motorized/economizer),,,"C,HT,V",,Natural Gas,Compressor-Centrifugal,Hospital,Hospital  - Hospital,103087,Urban,1966,1.0,1947541.879,1318540.493
